order_id,order_date,customer_id,store_id,product_id,quantity,discount,sales,profit,cost,product_name,unit_price,product_category,product_subcategory,store_region,store_city,customer_region,calculated_sales,calculated_profit
O0,2022-10-27,C7498,S197,P362,3,0,460.31,159.85,100.155,Jeans,153.44,Apparel,B,Midwest,Chicago,South,460.32,360.16
O1,2024-04-14,C2022,S183,P139,4,20,364.81,88.26,86.42,Dish Rack,114,Home,C,West,San Jose,Midwest,436,278.39
O2,2024-07-25,C4044,S54,P352,2,20,396.76,116.6,175.1,Eggs Pack,247.97,Grocery,C,East,New York,East,475.94,221.66
O3,2022-05-14,C4105,S146,P15,3,20,327.48,120.07,86.42,Floor Lamp,136.45,Home,C,West,San Jose,South,389.35,241.06
O4,2023-07-21,C1567,S113,P277,3,20,456.22,84.8,154.76,Cap,190.09,Apparel,A,West,San Jose,South,550.27,301.46
O5,2024-09-27,C3645,S70,P125,3,10,219.33,80.33,51.48,DSLR Camera,81.23,Electronics,A,South,Dallas,South,233.69,167.85
O6,2023-09-26,C1755,S128,P20,4,5,948.61,220.27,191.67,Milk Carton,249.63,Grocery,B,Midwest,Chicago,South,993.52,756.94
O7,2022-02-16,C4190,S146,P330,5,20,71.87,21.75,12.53,WiFi Router,17.97,Electronics,A,West,San Jose,West,69.85,59.34
O8,2022-09-29,C7621,S56,P152,2,10,248.39,92.83,86.42,Curtains,137.99,Home,A,South,Dallas,,265.98,161.97
O9,2022-07-01,C918,S47,P419,1,10,113.48,35.7,86.42,Floor Lamp,126.09,Home,A,Midwest,Chicago,Midwest,116.09,27.06
O10,2022-03-07,C41,S133,P279,1,5,139.25,45.72,98.45,Tablet,146.58,Electronics,A,West,San Jose,Midwest,141.58,40.8
O11,2023-01-26,C3499,S0,P463,3,0,681.31,196.69,161.54,Formal Shirt,227.1,Apparel,C,Midwest,Chicago,South,681.3,519.77
O12,2022-10-10,C3764,S110,P376,5,0,657.15,164.9,98.45,DSLR Camera,131.43,Electronics,A,West,San Jose,West,657.15,558.7
O13,2022-03-25,C1525,S45,P59,3,0,492.35,138.36,117.995,Yogurt Cup,164.12,Grocery,C,East,New York,West,492.36,374.36
O14,2023-12-17,C2564,S89,P282,4,0,173.02,29.94,35.77,Air Purifier,43.26,Home,B,West,San Jose,West,173.04,137.25
O15,2022-02-13,C6453,S77,P62,3,5,237.46,51.3,65.32,Formal Shirt,83.32,Apparel,B,Midwest,Chicago,South,244.96,172.14
O16,2024-01-02,C5858,S169,P205,1,0,131.08,30.93,100.155,Dress,131.08,Apparel,B,East,New York,South,131.08,30.93
